,loss,accuracy,val_loss,val_accuracy
0,1.7457823753356934,0.5331110954284668,1.316831350326538,0.75
1,1.1460577249526978,0.7786666750907898,0.9815186262130737,0.8159999847412109
2,0.9015079736709595,0.8235555291175842,0.8224884867668152,0.8339999914169312
3,0.7717853784561157,0.8413333296775818,0.7302000522613525,0.843999981880188
4,0.6910552382469177,0.8531110882759094,0.668408989906311,0.8600000143051147
5,0.635070264339447,0.8613333106040955,0.6267223358154297,0.8579999804496765
6,0.5935060381889343,0.8673333525657654,0.5932313799858093,0.8579999804496765
7,0.5610565543174744,0.8731111288070679,0.5682506561279297,0.8539999723434448
8,0.5351158976554871,0.8768888711929321,0.5463777780532837,0.8600000143051147
9,0.5139012336730957,0.8768888711929321,0.5301727652549744,0.8619999885559082
10,0.4957268238067627,0.8826666474342346,0.514850378036499,0.8600000143051147
11,0.48008355498313904,0.8866666555404663,0.5029430389404297,0.8560000061988831
12,0.4665803611278534,0.8875555396080017,0.48982343077659607,0.8619999885559082
13,0.45474669337272644,0.890666663646698,0.4810603857040405,0.8619999885559082
14,0.4441900849342346,0.890666663646698,0.47265535593032837,0.8619999885559082
15,0.43446967005729675,0.8937777876853943,0.4652520418167114,0.8619999885559082
16,0.4259479343891144,0.8966666460037231,0.4577794671058655,0.8619999885559082
17,0.41794353723526,0.8975555300712585,0.45065760612487793,0.8659999966621399
18,0.4107562005519867,0.8995555639266968,0.4450557827949524,0.8700000047683716
19,0.4041896462440491,0.9017778038978577,0.44013074040412903,0.8679999709129333
